block,wealth_bucket,n_wallets,mean,median,p25,p75,p90,p95,p99,max
17595510,1–100,10613456,1.2605826980391683,1.0,1.0,1.0,2.0,2.0,5.0,1341.0
17595510,">100,000",106204,2.9391736657753005,1.0,1.0,2.0,5.0,8.0,27.0,1306.0
17816434,0–1,7078542,1.1092842283057727,1.0,1.0,1.0,1.0,2.0,3.0,775.0
17816434,"1,000–10,000",913595,2.964709745565595,2.0,1.0,3.0,6.0,9.0,19.0,685.0
17816434,"10,000–100,000",271202,3.416862707502157,1.0,1.0,3.0,7.0,12.0,27.0,1300.0
17816434,"100–1,000",2705710,1.814367762990121,1.0,1.0,2.0,3.0,5.0,10.0,1055.0
17816434,1–100,10812456,1.2625386868626332,1.0,1.0,1.0,2.0,2.0,5.0,1400.0
17816434,">100,000",106242,3.0445868865420453,1.0,1.0,2.0,5.0,8.0,27.0,1335.0
18037988,0–1,7300902,1.1125432172627436,1.0,1.0,1.0,1.0,2.0,3.0,1475.0
18037988,"1,000–10,000",873239,3.017279347349351,2.0,1.0,3.0,7.0,10.0,19.0,685.0
18037988,"10,000–100,000",258710,3.395149008542383,1.0,1.0,3.0,7.0,12.0,27.0,1361.0
18037988,"100–1,000",2611180,1.8616073958899808,1.0,1.0,2.0,4.0,5.0,10.0,1069.0
18037988,1–100,10973531,1.270505728739455,1.0,1.0,1.0,2.0,2.0,5.0,774.0
18037988,">100,000",102365,3.0141259219459777,1.0,1.0,2.0,5.0,8.0,27.0,1424.0
18251965,0–1,7232474,1.1162154195092855,1.0,1.0,1.0,1.0,2.0,3.0,1530.0
