block,wallet_type,wealth_bucket,n_wallets,mean,median,p25,p75,p90,p95,p99,max
12344945,CA,"10,000–100,000",2500,1.4176,1.0,1.0,1.0,2.0,3.0,6.0,26.0
12344945,CA,"100–1,000",3979,1.204574013571249,1.0,1.0,1.0,2.0,2.0,5.0,12.0
12344945,CA,1–100,5544,1.1331168831168832,1.0,1.0,1.0,1.0,2.0,3.0,9.0
12344945,CA,">100,000",2562,1.6342701014832162,1.0,1.0,2.0,2.0,2.0,7.0,32.0
12344945,EOA,0–1,2879610,1.1069540666965318,1.0,1.0,1.0,1.0,2.0,3.0,290.0
12344945,EOA,"1,000–10,000",1041322,1.9872949961683322,1.0,1.0,2.0,4.0,6.0,10.0,253.0
12344945,EOA,"10,000–100,000",362965,3.2654911630597994,1.0,1.0,4.0,8.0,11.0,22.0,526.0
12344945,EOA,"100–1,000",2045236,1.3798412505940634,1.0,1.0,1.0,2.0,3.0,5.0,239.0
12344945,EOA,1–100,6089791,1.157832345970494,1.0,1.0,1.0,2.0,2.0,3.0,216.0
12344945,EOA,">100,000",99647,3.2950916736078355,1.0,1.0,3.0,7.0,13.0,30.0,627.0
12545219,CA,0–1,26839,1.0337941055926079,1.0,1.0,1.0,1.0,1.0,2.0,20.0
12545219,CA,"1,000–10,000",3338,1.335230677052127,1.0,1.0,1.0,2.0,3.0,6.0,15.0
12545219,CA,"10,000–100,000",2704,1.4341715976331362,1.0,1.0,1.0,2.0,3.0,7.0,26.0
12545219,CA,"100–1,000",4305,1.20534262485482,1.0,1.0,1.0,2.0,2.0,4.0,13.0
12545219,CA,1–100,6216,1.1378700128700128,1.0,1.0,1.0,1.0,2.0,3.0,10.0
12545219,CA,">100,000",2401,1.6555601832569762,1.0,1.0,2.0,2.0,2.0,7.0,42.0
12545219,EOA,0–1,3280450,1.121996372448902,1.0,1.0,1.0,1.0,2.0,3.0,290.0
12545219,EOA,"1,000–10,000",1035050,2.1110564707018984,1.0,1.0,2.0,4.0,6.0,12.0,131.0
12545219,EOA,"10,000–100,000",322225,3.195829001474125,1.0,1.0,3.0,7.0,11.0,23.0,583.0
12545219,EOA,"100–1,000",2269469,1.395975886870453,1.0,1.0,1.0,2.0,3.0,6.0,253.0
12545219,EOA,1–100,6322705,1.167233011820099,1.0,1.0,1.0,2.0,2.0,3.0,349.0
12545219,EOA,">100,000",88403,3.0576111670418427,1.0,1.0,2.0,6.0,11.0,29.0,681.0
12738509,CA,0–1,32078,1.0309557952490804,1.0,1.0,1.0,1.0,1.0,2.0,20.0
12738509,CA,"1,000–10,000",3673,1.3561121698883747,1.0,1.0,1.0,2.0,3.0,6.279999999999745,21.0
12738509,CA,"10,000–100,000",2928,1.373292349726776,1.0,1.0,1.0,2.0,3.0,7.0,26.0
12738509,CA,"100–1,000",4524,1.2088859416445623,1.0,1.0,1.0,2.0,2.0,4.0,14.0
12738509,CA,1–100,7377,1.1337942252948352,1.0,1.0,1.0,1.0,2.0,3.0,10.0
12738509,CA,">100,000",2169,1.6915629322268326,1.0,1.0,2.0,2.0,2.0,7.0,42.0
