size_bucket,wallet_count,wallet_pct,wallet_type,wealth_bucket,block
6–10,9720,4.4952,EOA,"1,000–10,000",10176690
1,51232,76.1712,EOA,"10,000–100,000",10176690
11–20,949,1.411,EOA,"10,000–100,000",10176690
2,6224,9.2538,EOA,"10,000–100,000",10176690
21–50,101,0.1502,EOA,"10,000–100,000",10176690
3,3039,4.5184,EOA,"10,000–100,000",10176690
4,1850,2.7506,EOA,"10,000–100,000",10176690
5,1273,1.8927,EOA,"10,000–100,000",10176690
51–100,4,0.0059,EOA,"10,000–100,000",10176690
6–10,2587,3.8463,EOA,"10,000–100,000",10176690
1,683353,84.4841,EOA,"100–1,000",10176690
11–20,1298,0.1605,EOA,"100–1,000",10176690
2,62657,7.7464,EOA,"100–1,000",10176690
21–50,126,0.0156,EOA,"100–1,000",10176690
3,28227,3.4898,EOA,"100–1,000",10176690
4,14560,1.8001,EOA,"100–1,000",10176690
5,8164,1.0093,EOA,"100–1,000",10176690
51–100,4,0.0005,EOA,"100–1,000",10176690
6–10,10464,1.2937,EOA,"100–1,000",10176690
>100,1,0.0001,EOA,"100–1,000",10176690
1,3390395,85.805,EOA,1–100,10176690
11–20,1379,0.0349,EOA,1–100,10176690
2,418624,10.5947,EOA,1–100,10176690
21–50,97,0.0025,EOA,1–100,10176690
3,84002,2.1259,EOA,1–100,10176690
4,29579,0.7486,EOA,1–100,10176690
5,13320,0.3371,EOA,1–100,10176690
51–100,1,0.0,EOA,1–100,10176690
6–10,13879,0.3513,EOA,1–100,10176690
>100,1,0.0,EOA,1–100,10176690
1,8324,73.5076,EOA,">100,000",10176690
11–20,149,1.3158,EOA,">100,000",10176690
2,1273,11.2416,EOA,">100,000",10176690
21–50,71,0.627,EOA,">100,000",10176690
3,543,4.7951,EOA,">100,000",10176690
4,307,2.7111,EOA,">100,000",10176690
5,213,1.881,EOA,">100,000",10176690
51–100,25,0.2208,EOA,">100,000",10176690
6–10,417,3.6824,EOA,">100,000",10176690
>100,2,0.0177,EOA,">100,000",10176690
1,1808,93.5334,CA,0–1,10370274
11–20,1,0.0517,CA,0–1,10370274
2,109,5.6389,CA,0–1,10370274
3,10,0.5173,CA,0–1,10370274
4,2,0.1035,CA,0–1,10370274
6–10,3,0.1552,CA,0–1,10370274
1,175,58.9226,CA,"1,000–10,000",10370274
2,81,27.2727,CA,"1,000–10,000",10370274
21–50,1,0.3367,CA,"1,000–10,000",10370274
3,14,4.7138,CA,"1,000–10,000",10370274
4,6,2.0202,CA,"1,000–10,000",10370274
5,10,3.367,CA,"1,000–10,000",10370274
6–10,10,3.367,CA,"1,000–10,000",10370274
1,129,55.6034,CA,"10,000–100,000",10370274
2,88,37.931,CA,"10,000–100,000",10370274
3,7,3.0172,CA,"10,000–100,000",10370274
4,2,0.8621,CA,"10,000–100,000",10370274
5,4,1.7241,CA,"10,000–100,000",10370274
6–10,2,0.8621,CA,"10,000–100,000",10370274
1,262,66.4975,CA,"100–1,000",10370274
2,86,21.8274,CA,"100–1,000",10370274
3,23,5.8376,CA,"100–1,000",10370274
4,12,3.0457,CA,"100–1,000",10370274
5,6,1.5228,CA,"100–1,000",10370274
6–10,5,1.269,CA,"100–1,000",10370274
1,569,78.8089,CA,1–100,10370274
2,88,12.1884,CA,1–100,10370274
3,33,4.5706,CA,1–100,10370274
4,16,2.2161,CA,1–100,10370274
5,11,1.5235,CA,1–100,10370274
6–10,5,0.6925,CA,1–100,10370274
1,46,34.0741,CA,">100,000",10370274
2,71,52.5926,CA,">100,000",10370274
3,14,10.3704,CA,">100,000",10370274
4,1,0.7407,CA,">100,000",10370274
5,1,0.7407,CA,">100,000",10370274
6–10,2,1.4815,CA,">100,000",10370274
1,2360128,89.4111,EOA,0–1,10370274
11–20,375,0.0142,EOA,0–1,10370274
2,212245,8.0407,EOA,0–1,10370274
21–50,21,0.0008,EOA,0–1,10370274
3,42774,1.6205,EOA,0–1,10370274
4,13779,0.522,EOA,0–1,10370274
5,7135,0.2703,EOA,0–1,10370274
51–100,1,0.0,EOA,0–1,10370274
6–10,3176,0.1203,EOA,0–1,10370274
