block_number,block_date,n_wallets,strategy,metric,quantile,value
9782602,2020-04-01,941259,better_return,alpha,0.5,-0.21963691612185965
9782602,2020-04-01,941259,better_return,alpha,0.75,-0.07018798905904003
9782602,2020-04-01,941259,better_return,alpha,0.9,0.08493597356256505
9782602,2020-04-01,941259,better_return,alpha,0.95,0.3756759893093077
9782602,2020-04-01,941259,better_return,alpha,0.99,2.66050031618299
9782602,2020-04-01,941259,better_return,excess_return,0.01,-0.5621929554713987
9782602,2020-04-01,941259,better_return,excess_return,0.05,-0.35985230407483837
9782602,2020-04-01,941259,better_return,excess_return,0.1,-0.3108941347724882
9782602,2020-04-01,941259,better_return,excess_return,0.25,-0.22072009512829935
9782602,2020-04-01,941259,better_return,excess_return,0.5,-0.19352871431863436
9782602,2020-04-01,941259,better_return,excess_return,0.75,-0.0716861283684159
9782602,2020-04-01,941259,better_return,excess_return,0.9,0.09206121777393059
9782602,2020-04-01,941259,better_return,excess_return,0.95,0.38841165372717434
9782602,2020-04-01,941259,better_return,excess_return,0.99,2.682224055075186
9782602,2020-04-01,941259,equal_weight,alpha,0.01,-0.48826126490684896
9782602,2020-04-01,941259,equal_weight,alpha,0.05,-0.3723463533971091
9782602,2020-04-01,941259,equal_weight,alpha,0.1,-0.3723463533971091
9782602,2020-04-01,941259,equal_weight,alpha,0.25,-0.3325592383593604
9782602,2020-04-01,941259,equal_weight,alpha,0.5,-0.20996531211462258
9782602,2020-04-01,941259,equal_weight,alpha,0.75,-0.06519764562742147
9782602,2020-04-01,941259,equal_weight,alpha,0.9,0.10863466398756655
9782602,2020-04-01,941259,equal_weight,alpha,0.95,0.6375600340486541
