block_number,wallet_type,wallets_considered,total_value_usd,top_1_value_usd,top_5_value_usd,top_10_value_usd,top_1_share_pct,top_5_share_pct,top_10_share_pct
12150245,EOA,8902066,568762183780.5216,555372578144.4664,565261886577.981,567303111441.7983,97.64583405544731,99.38457631284935,99.74346530407051
12150245,CA,16336,20375450005.649807,17775667214.06345,19750299162.60746,20183245703.93659,87.24061166322473,96.93184276730575,99.0566868380334
12344945,ALL,9656738,673944877093.3942,658249848895.5231,669672679011.0364,672059826555.4852,97.67117033880263,99.36609087366567,99.72029603577687
12344945,EOA,9638961,649163993495.8993,633821917628.3656,644944312310.8425,647295524315.1862,97.63664096880774,99.34998224988838,99.71217301029729
12344945,CA,17777,24780883597.494305,21641253891.154026,24055282846.74187,24546493928.287617,87.33043681034142,97.07193350108871,99.05415128445868
12545219,ALL,10056816,556561974468.8788,543484868288.23785,552859172171.181,554839124168.6816,97.65037735588741,99.33470081184916,99.69044771665523
12545219,EOA,10037852,539793310852.06555,527013959231.9715,536134576103.3743,538084954156.144,97.63254724295827,99.32219709375133,99.68351651241751
12545219,CA,18964,16768663616.812374,14631377116.579103,16252248264.324125,16588995284.930754,87.25428245760496,96.9203547504496,98.92854710436505
12738509,ALL,10207992,517170699789.41565,506606637692.26654,514138740745.5291,515724109869.6497,97.95733553709624,99.4137411409577,99.72028772698164
12738509,EOA,10187321,503666030498.28406,493353738376.1789,500671662804.22186,502232022073.6917,97.95255357763496,99.40548547792675,99.71528585654791
12738509,CA,20671,13504669291.130121,12026806382.676163,13143870513.416662,13374453954.871342,89.05665235782841,97.32834051737623,99.03577545327745
12936340,ALL,10636182,515328429695.9163,503580508477.11505,512186911814.4314,513825465742.1326,97.7203040737082,99.39038529596773,99.70834833337828
12936340,EOA,10614091,496578679590.1104,485127180351.78796,493476547028.1264,495088894060.12103,97.69392047846782,99.37529888223462,99.69999003355942
12936340,CA,22091,18749750105.80596,17073785117.400002,18369267259.799335,18616989287.87211,91.06140093095433,97.97073110916392,99.2919328674533
13136427,ALL,11238042,735582806978.279,719858221902.9884,731381271815.9454,733598375648.6794,97.86229572984637,99.42881547495745,99.73022325824178
13136427,EOA,11214920,710512954258.9852,695151388124.0912,706363711716.0446,708545542259.8828,97.83796114584355,99.41602154921044,99.7230997707629
13136427,CA,23122,25069852719.294044,22892680605.71803,24586510063.334213,24905333128.728275,91.31557676882385,98.07201637212712,99.34375525692997
13330090,ALL,11660840,805163903637.8179,790039650715.9318,801104168066.951,803210141625.6162,98.12159327392185,99.49578768341148,99.75734605049055
13330090,EOA,11637283,783508709450.0964,768718607289.3778,779496371233.9393,781570700321.435,98.11232447293419,99.48790126162437,99.75264995713684
13330090,CA,23557,21655194187.72023,19774371343.1702,21244506495.83031,21514981143.784138,91.3146803106639,98.10351415771278,99.35252003412835
13527859,ALL,12359994,928059901923.9683,906053794524.4922,921375630364.8651,924823728371.2507,97.62880527928692,99.27975860768838,99.6512969102524
