block,wallet_type,n_wallets,n_wallets_pct_of_top1,total_value_usd,value_pct_of_top1,value_pct_of_all,mean_value,median_value,p75_value,p90_value,p99_value,max_value
16950603,CA,15491,7.4578,129554442003.63,26.5815,26.1656,8363207.152774676,219940.63766457647,1010018.1919127506,5155664.484346155,139261030.2584649,6296121092.505012
16950603,EOA,192224,92.5422,357832188744.14,73.4185,72.2698,1861537.5225993737,108032.75664906988,315098.1484798855,786602.1539959258,9579305.348003656,38993950195.31562
17162287,CA,15847,7.4988,128976654879.6,27.9759,27.5227,8138868.863481911,206683.41976634748,931991.1729926951,4796146.898491,137117024.2105981,8415610379.594753
17162287,EOA,195481,92.5012,332051659796.26,72.0241,70.8574,1698639.0482771245,105818.02153057908,307528.9396317516,808001.9534325557,7313910.813998713,39371892793.1377
17382266,CA,16593,7.7079,114722938483.99,27.7405,27.2885,6913935.905742493,183566.92263781404,858031.2232949238,4192607.1595043056,110679823.02391313,13986064700.03624
17382266,EOA,198681,92.2921,298835239119.64,72.2595,71.0822,1504095.7067844395,98645.0063681609,286728.910930284,741128.7870207827,6488113.809435185,36819159017.91832
17595510,CA,16718,7.7811,112377689749.49,27.4003,26.9651,6721957.755083513,178192.35768382624,810900.6637964549,4101425.6878456706,108264214.61001791,13425608845.582079
17595510,EOA,198135,92.2189,297755546040.25,72.5997,71.4467,1502791.2586885097,95397.15625496031,278198.9826638178,707145.1382904397,6304412.845478966,40816222768.611664
17816434,CA,17026,7.7788,132952548105.27,30.1044,29.6596,7808795.260499627,172225.30558286278,796791.289120803,3858355.7744764565,108702734.2726891,14029087772.23688
17816434,EOA,201852,92.2212,308685767705.52,69.8956,68.8628,1529267.8185280205,92364.1867530946,264649.13989939535,664681.6314913941,6152796.922640197,42278448837.883934
18037988,CA,17200,7.7758,113762510036.79,29.3896,28.9349,6614099.42074351,159819.71537788626,735316.19382325,3659707.890630598,91995756.70169431,13951301137.149319
18037988,EOA,204000,92.2242,273321597553.64,70.6104,69.518,1339811.752713901,84970.68519281325,245071.21026395727,630543.8200794732,5968121.43608703,34816117113.63939
18251965,CA,17454,7.8329,120873426449.83,30.1324,29.6807,6925256.471285956,155871.14416514555,727641.6449382787,3651522.4343092516,92419698.70595416,13999233323.658659
18251965,EOA,205374,92.1671,280267544518.9,69.8676,68.8202,1364669.064822702,85006.93205811856,238276.79697746615,620392.3530136949,6013096.963111807,36026939351.20086
18473543,CA,17549,7.8093,136348037796.79,30.6886,30.2232,7769561.672846802,162685.11076728895,741555.8475358975,3899580.2970478106,102550124.88946266,14005147844.630459
18473543,EOA,207169,92.1907,307947839343.61,69.3114,68.2604,1486457.1405162283,90042.01913903342,257632.1943681041,684567.8322762495,6184427.756183386,45870056563.65111
