block,wallet_type,bucket,wallet_count,wallet_pct,value_sum_usd,value_pct
12738509,CA,1K–10K,35022,8.9081,99949289.156936,0.063
12738509,CA,1–100,111119,28.2639,2630468.521221,0.0017
12738509,CA,>100K,7975,2.0285,158189839973.91803,99.6932
12738509,EOA,0–1,3194412,24.2749,492991.115245,0.0001
12738509,EOA,100–1K,2235466,16.9877,791240639.222278,0.2207
12738509,EOA,10K–100K,261364,1.9862,7633988066.131276,2.1295
12738509,EOA,1K–10K,951638,7.2317,3083086866.410557,0.86
12738509,EOA,1–100,6441751,48.952,213231185.835567,0.0595
12738509,EOA,>100K,74688,0.5676,346772509658.18994,96.7302
12936340,ALL,0–1,3433608,24.4041,545737.548003,0.0001
12936340,ALL,100–1K,2480203,17.6279,881132083.509055,0.171
12936340,ALL,10K–100K,270241,1.9207,8269379167.029342,1.6047
12936340,ALL,1K–10K,1009676,7.1762,3288862874.691334,0.6382
12936340,ALL,1–100,6779553,48.1852,222390285.218852,0.0432
12936340,ALL,>100K,96509,0.6859,502666665285.46857,97.5429
12936340,CA,0–1,157250,38.9674,24597.266648,0.0
12936340,CA,100–1K,81761,20.2608,34362162.024081,0.0174
12936340,CA,10K–100K,10342,2.5628,361450050.725906,0.1829
12936340,CA,1K–10K,31711,7.8582,94391516.628877,0.0478
12936340,CA,1–100,113717,28.1797,2721110.845355,0.0014
12936340,CA,>100K,8761,2.171,197104409050.37717,99.7505
12936340,EOA,0–1,3276358,23.9741,521140.281355,0.0002
12936340,EOA,100–1K,2398442,17.5501,846769921.484971,0.2665
12936340,EOA,10K–100K,259899,1.9018,7907929116.303435,2.4889
12936340,EOA,1K–10K,977965,7.1561,3194471358.062445,1.0054
12936340,EOA,1–100,6665836,48.7759,219669174.373496,0.0691
12936340,EOA,>100K,87748,0.6421,305562256235.0911,96.1699
13136427,ALL,0–1,3454763,23.5133,551399.675867,0.0001
13136427,ALL,100–1K,2753227,18.7386,980970129.079408,0.1334
13136427,ALL,10K–100K,365427,2.4871,10850843829.608398,1.4751
13136427,ALL,1K–10K,1176605,8.008,3714813000.965068,0.505
13136427,ALL,1–100,6831009,46.4922,238442092.963641,0.0324
13136427,ALL,>100K,111774,0.7607,719797737925.6625,97.854
13136427,CA,0–1,158541,39.0206,25084.889472,0.0
13136427,CA,100–1K,78677,19.3642,28854528.13377,0.0099
13136427,CA,10K–100K,10747,2.6451,378805323.927016,0.1301
13136427,CA,1K–10K,29292,7.2094,83987089.699974,0.0289
13136427,CA,1–100,119108,29.3152,2935059.078694,0.001
13136427,CA,>100K,9936,2.4455,290615368922.9067,99.8301
13136427,EOA,0–1,3296222,23.0723,526314.786395,0.0001
13136427,EOA,100–1K,2674550,18.7208,952115600.945629,0.2142
13136427,EOA,10K–100K,354680,2.4826,10472038505.681393,2.3561
13136427,EOA,1K–10K,1147313,8.0307,3630825911.265101,0.8169
13136427,EOA,1–100,6711901,46.9807,235507033.884947,0.053
13136427,EOA,>100K,101838,0.7128,429182369002.75555,96.5597
13330090,ALL,0–1,3508132,23.127,518619.018305,0.0001
13330090,ALL,100–1K,2896094,19.0922,1028994178.079677,0.1278
13330090,ALL,10K–100K,355479,2.3435,10519722405.778416,1.3065
13330090,ALL,1K–10K,1202431,7.9269,3759954777.061228,0.467
13330090,ALL,1–100,7094464,46.7696,226477560.876761,0.0281
13330090,ALL,>100K,112372,0.7408,789628754716.0215,98.0705
13330090,CA,0–1,160599,37.9746,24380.991458,0.0
13330090,CA,100–1K,87581,20.709,33081391.335635,0.012
13330090,CA,10K–100K,10743,2.5402,382495155.835708,0.1389
13330090,CA,1K–10K,30694,7.2578,88907040.055637,0.0323
13330090,CA,1–100,123506,29.2037,3032097.36809,0.0011
13330090,CA,>100K,9789,2.3147,274962112773.87646,99.8158
13330090,EOA,0–1,3347533,22.7012,494238.026847,0.0001
13330090,EOA,100–1K,2808513,19.0459,995912786.74406,0.188
13330090,EOA,10K–100K,344736,2.3378,10137227249.942707,1.9138
13330090,EOA,1K–10K,1171737,7.9461,3671047737.005604,0.693
13330090,EOA,1–100,6970958,47.2734,223445463.508673,0.0422
13330090,EOA,>100K,102583,0.6957,514666641942.1448,97.1629
13527859,ALL,0–1,3627013,22.6873,661619.346519,0.0001
13527859,ALL,100–1K,3231822,20.2153,1211064287.339493,0.1305
13527859,ALL,10K–100K,474806,2.9699,13820920713.992207,1.4892
13527859,ALL,1K–10K,1598744,10.0003,5248123988.724467,0.5655
13527859,ALL,1–100,6917672,43.2706,287374008.101576,0.031
13527859,ALL,>100K,136950,0.8566,907492418925.8108,97.7837
13527859,CA,0–1,163291,39.1878,26268.573806,0.0
13527859,CA,100–1K,84754,20.3399,35618250.078186,0.009
13527859,CA,10K–100K,12027,2.8863,423481442.01325,0.1071
13527859,CA,1K–10K,25084,6.0199,80456664.405538,0.0203
13527859,CA,1–100,120482,28.9142,3145386.712356,0.0008
13527859,CA,>100K,11050,2.6519,395040554337.56116,99.8628
13527859,EOA,0–1,3463722,22.2457,635350.772713,0.0001
13527859,EOA,100–1K,3147068,20.212,1175446037.261318,0.2208
13527859,EOA,10K–100K,462779,2.9722,13397439271.978962,2.5161
13527859,EOA,1K–10K,1573660,10.1068,5167667324.318932,0.9705
13527859,EOA,1–100,6797190,43.6548,284228621.389226,0.0534
13527859,EOA,>100K,125900,0.8086,512451864588.2499,96.2392
13717847,ALL,0–1,3569032,21.1048,681855.939559,0.0001
13717847,ALL,100–1K,5967541,35.2879,1615340068.351801,0.1563
13717847,ALL,10K–100K,487026,2.8799,14197213343.398754,1.3733
13717847,ALL,1K–10K,1726694,10.2105,5661505513.57962,0.5476
